epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
87,12593.4,0.59665,1.89644,1.03666,1.15706,0,0.67276,0.66319,0.68122,0.53111,0.66551,0.65052,0.66359,0.48421,0.76232,2.23701,1.15496,0.98187,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,13379.9,0.59387,1.88178,1.03195,1.15463,0,0.67453,0.66397,0.68184,0.53214,0.6717,0.64481,0.66448,0.48453,0.76203,2.23664,1.15387,0.98126,0,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,14166.2,0.59438,1.87784,1.02683,1.15534,0,0.68016,0.65888,0.68271,0.53294,0.67722,0.64144,0.66532,0.48569,0.76167,2.23549,1.15374,0.98082,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,14953,0.59212,1.87464,1.02292,1.15449,0,0.68207,0.65916,0.68357,0.53361,0.6798,0.63967,0.66563,0.48621,0.76121,2.23478,1.15326,0.98021,0,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,15728,0.80025,2.51529,1.24367,1.31047,0,0.67658,0.6624,0.68403,0.53452,0.67605,0.64417,0.66615,0.48685,0.7594,2.2325,1.15068,0.97774,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,16501.5,0.78233,2.4653,1.20995,1.29808,0,0.68092,0.66261,0.68477,0.53589,0.67571,0.64673,0.66725,0.48762,0.75751,2.22988,1.1478,0.97535,0,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,17274.6,0.77655,2.43731,1.19713,1.29454,0,0.67732,0.6677,0.68593,0.53745,0.674,0.65085,0.66819,0.48827,0.75665,2.23008,1.14614,0.97402,0,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,18047.8,0.77469,2.41704,1.18309,1.29036,0,0.68122,0.66509,0.68586,0.53926,0.67283,0.65194,0.66877,0.48909,0.75532,2.22855,1.1432,0.97225,0,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,18819.7,0.76739,2.39019,1.17439,1.28785,0,0.68216,0.66783,0.68644,0.5399,0.67393,0.65413,0.66931,0.48934,0.75471,2.22795,1.14092,0.97104,0,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,19592.8,0.76522,2.37118,1.16528,1.28237,0,0.68146,0.67197,0.68742,0.54115,0.67544,0.65158,0.67005,0.49044,0.75387,2.22679,1.13805,0.96946,0,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
